degradation_id,modality,degradation_type,level,severity,quality_target,cross_modal_condition,notes
deg_0001,imu,noise,clean,0.0,1.0,none,
deg_0002,imu,noise,mild,0.25,0.75,none,
deg_0003,imu,noise,moderate,0.5,0.5,none,
deg_0004,imu,noise,severe,0.75,0.25,none,
deg_0005,imu,bias,clean,0.0,1.0,none,
deg_0006,imu,bias,mild,0.25,0.75,none,
deg_0007,imu,bias,moderate,0.5,0.5,none,
deg_0008,imu,bias,severe,0.75,0.25,none,
deg_0009,imu,rotation,clean,0.0,1.0,none,
deg_0010,imu,rotation,mild,0.25,0.75,none,
deg_0011,imu,rotation,moderate,0.5,0.5,none,
deg_0012,imu,rotation,severe,0.75,0.25,none,
deg_0013,imu,sample_drop,clean,0.0,1.0,none,
deg_0014,imu,sample_drop,mild,0.25,0.75,none,
deg_0015,imu,sample_drop,moderate,0.5,0.5,none,
deg_0016,imu,sample_drop,severe,0.75,0.25,none,
deg_0017,imu,sampling_rate_mismatch,clean,0.0,1.0,none,
deg_0018,imu,sampling_rate_mismatch,mild,0.25,0.75,none,
deg_0019,imu,sampling_rate_mismatch,moderate,0.5,0.5,none,
deg_0020,imu,sampling_rate_mismatch,severe,0.75,0.25,none,
deg_0021,imu,clipping,clean,0.0,1.0,none,
deg_0022,imu,clipping,mild,0.25,0.75,none,
deg_0023,imu,clipping,moderate,0.5,0.5,none,
deg_0024,imu,clipping,severe,0.75,0.25,none,
deg_0025,audio,noise,clean,0.0,1.0,none,
deg_0026,audio,noise,mild,0.25,0.75,none,
deg_0027,audio,noise,moderate,0.5,0.5,none,
deg_0028,audio,noise,severe,0.75,0.25,none,
deg_0029,audio,clipping,clean,0.0,1.0,none,
deg_0030,audio,clipping,mild,0.25,0.75,none,
deg_0031,audio,clipping,moderate,0.5,0.5,none,
deg_0032,audio,clipping,severe,0.75,0.25,none,
deg_0033,audio,gain_shift,clean,0.0,1.0,none,
deg_0034,audio,gain_shift,mild,0.25,0.75,none,
deg_0035,audio,gain_shift,moderate,0.5,0.5,none,
deg_0036,audio,gain_shift,severe,0.75,0.25,none,
deg_0037,audio,frame_drop,clean,0.0,1.0,none,
deg_0038,audio,frame_drop,mild,0.25,0.75,none,
deg_0039,audio,frame_drop,moderate,0.5,0.5,none,
deg_0040,audio,frame_drop,severe,0.75,0.25,none,
deg_0041,audio,resampling_mismatch,clean,0.0,1.0,none,
deg_0042,audio,resampling_mismatch,mild,0.25,0.75,none,
deg_0043,audio,resampling_mismatch,moderate,0.5,0.5,none,
deg_0044,audio,resampling_mismatch,severe,0.75,0.25,none,
deg_0045,multi,conflict,moderate,0.5,0.5,conflict,Cross-modal benchmark slice; define exact implementation per dataset.
deg_0046,multi,delay,moderate,0.5,0.5,delay,Cross-modal benchmark slice; define exact implementation per dataset.
