scenario,severity,modality,model,accuracy,macro_f1,ece,nll,brier
none,0.0,multi,fixed_fusion,0.8054,0.7649,0.032,0.3936,0.2599
none,0.0,multi,quality_fusion,0.8293,0.8047,0.0445,0.3512,0.2291
noise,0.25,0,fixed_fusion,0.8084,0.7686,0.0293,0.4009,0.2641
noise,0.25,0,quality_fusion,0.8249,0.8009,0.0444,0.3479,0.2286
noise,0.5,0,fixed_fusion,0.8069,0.7686,0.0462,0.4134,0.2693
noise,0.5,0,quality_fusion,0.8323,0.8113,0.0299,0.3541,0.2302
noise,0.75,0,fixed_fusion,0.8024,0.7636,0.0525,0.4504,0.2863
noise,0.75,0,quality_fusion,0.8308,0.8089,0.0334,0.3652,0.2345
sample_drop,0.5,0,fixed_fusion,0.8189,0.7825,0.0752,0.4697,0.278
sample_drop,0.5,0,quality_fusion,0.8323,0.8056,0.0244,0.3506,0.2279
sample_drop,0.8,0,fixed_fusion,0.8219,0.787,0.0954,0.5041,0.2689
sample_drop,0.8,0,quality_fusion,0.8278,0.7973,0.0289,0.3446,0.2225
clipping,0.5,0,fixed_fusion,0.8099,0.7631,0.0429,0.4033,0.2648
clipping,0.5,0,quality_fusion,0.8069,0.7825,0.0219,0.3918,0.2539
bias,0.5,0,fixed_fusion,0.8069,0.7671,0.0312,0.3937,0.26
bias,0.5,0,quality_fusion,0.8308,0.8075,0.0364,0.3532,0.2313
rotation,0.5,0,fixed_fusion,0.8039,0.7641,0.0357,0.3928,0.259
rotation,0.5,0,quality_fusion,0.7979,0.7744,0.0241,0.3659,0.247
noise,0.5,multi,fixed_fusion,0.6737,0.6446,0.082,0.6492,0.4198
noise,0.5,multi,quality_fusion,0.6467,0.6139,0.2053,1.0018,0.5387
sample_drop,0.5,multi,fixed_fusion,0.6392,0.5854,0.135,0.7776,0.4454
sample_drop,0.5,multi,quality_fusion,0.5494,0.5445,0.1626,0.9309,0.5275
conflict,0.5,multi,fixed_fusion,0.3653,0.3365,0.2826,2.5434,0.8933
conflict,0.5,multi,quality_fusion,0.3563,0.3513,0.457,3.6965,1.098
